Index,[Fe/H]=0.5,[Fe/H]=0.0,[Fe/H]=-0.5,[Fe/H]=-1.0,[Fe/H]=-1.5,[Fe/H]=-2.0
a0,0.01614078,0.00648039,0.01020984,0.0,0.0,0.0
a1,-0.82889624,-0.32387316,-0.52616578,0.0,0.0,0.0
a2,18.82783512,7.12739395,12.00496988,0.0,0.0,0.0
a3,-248.77938366,-90.72619539,-159.50196302,0.0,0.0,0.0
a4,2114.7663914,737.52332095,1364.8803507,-0.05885722,-0.07086279,-0.03302612
a5,-12066.86123531,-3985.53006482,-7849.18980099,1.77047593,2.24373031,0.9923361
a6,46737.31279148,14429.00376021,30678.07851317,-21.35693571,-28.79943645,-11.77987018
a7,-121155.78274846,-34331.58218292,-80350.13971753,131.19474049,191.02779784,69.10813292
a8,200900.40886025,50908.84896509,134788.57257591,-426.79028411,-685.85262464,-200.13232592
a9,-192229.47516863,-41908.85174199,-130650.90316248,670.43303106,1241.79112235,219.93982208
a10,80609.69629943,14272.39696972,55606.53389053,-323.40106111,-823.7826455,64.10693801
