Index,[Fe/H]=0.5,[Fe/H]=0.0,[Fe/H]=-0.5,[Fe/H]=-1.0,[Fe/H]=-1.5,[Fe/H]=-2.0
a0,-0.00161665,-2.931e-05,0.00314854,0.00438315,0.00248349,0.0017314
a1,0.08748705,0.00609175,-0.16422068,-0.23377795,-0.13911549,-0.09842062
a2,-2.1133806,-0.2586002,3.79774269,5.54468372,3.47284657,2.50502182
a3,29.98864557,5.26689955,-51.23208176,-76.96397627,-50.85207419,-37.57868065
a4,-276.54859708,-63.24361852,446.03261205,691.94999709,483.39873794,367.7532083
a5,1729.54865914,485.66053374,-2616.02888419,-4207.57934851,-3115.13483984,-2451.57503145
a6,-7416.79180597,-2456.95791965,10458.06219066,17513.75034286,13773.07368641,11266.13410559
a7,21490.37043508,8154.70550045,-28115.45167299,-49245.5811874,-41227.70630696,-35212.82976426
a8,-40169.45351605,-17063.85466576,48621.34507629,89479.1487503,79914.60430422,71583.15473889
a9,43611.90808267,20352.06256794,-48849.14351633,-94855.37383529,-90550.68592038,-85418.62462132
a10,-20787.40621915,-10469.52925157,21708.27886479,44593.67495463,45579.11224896,45454.60120153
