Index,[Fe/H]=0.5,[Fe/H]=0.0,[Fe/H]=-0.5,[Fe/H]=-1.0
a0,0.0,0.0,0.0,0.0
a1,0.0,0.0,0.0,0.0
a2,-0.08124094,0.0,0.02097025,0.06481158
a3,1.50463929,0.0,-0.43100923,-1.15611485
a4,-11.42450282,0.1005388,3.68451043,8.54683806
a5,45.56988297,-1.4593741,-16.97669619,-33.86129097
a6,-101.44636545,8.26996353,45.77727053,77.94018704
a7,123.31149529,-22.87154352,-73.53891,-106.53505571
a8,-75.13303383,30.61508861,67.4282963,84.68048366
a9,26.59091311,-10.63597575,-23.72644311,-28.0061193
a10,0.28807233,5.41734526,7.41742456,8.04425497
